时间 Time (ps),取向有序度 S,二面角有序度 -<cos3φ>,反式构象比例
0.0,0.013540555228629639,0.06273004253822889,0.2535211267605634
100.00000762939453,0.0065038651040372954,0.027483085087944257,0.27230046948356806
200.00001525878906,0.013875991449235315,0.0,0.27699530516431925
300.0,0.016298655092759913,0.0,0.25821596244131456
400.0000305175781,0.007863169183537959,0.011827124539641028,0.26291079812206575
500.0000305175781,0.01966356801244107,0.005967081235763336,0.2535211267605634
600.0,0.01319133224605035,0.009979067049864667,0.2347417840375587
700.0000610351562,0.017783622049794206,0.0,0.24413145539906103
800.0000610351562,0.009626642389210212,0.0,0.25821596244131456
900.0000610351562,0.009402736063075803,0.0,0.2676056338028169
