时间 Time (ns),"最大链 (seg_0_PROA, 3227 原子)",平均 Rg
0.0,18.360997879925897,18.852827926860588
1.0,18.658550296751688,18.852827926860588
2.0,18.55701627594736,18.852827926860588
3.0,18.659607052365242,18.852827926860588
4.0,18.676374920202633,18.852827926860588
5.0,18.64983125260527,18.852827926860588
6.0,18.669456398617413,18.852827926860588
7.0,18.702444218198618,18.852827926860588
8.0,18.801175467499863,18.852827926860588
9.0,18.780414355736752,18.852827926860588
10.0,18.777997540959976,18.852827926860588
11.0,18.727697148899622,18.852827926860588
12.0,18.67832933107392,18.852827926860588
13.0,18.662513465763777,18.852827926860588
14.0,18.667353159378514,18.852827926860588
15.0,18.62018641117618,18.852827926860588
16.0,18.745726677148962,18.852827926860588
17.0,18.796740162148588,18.852827926860588
18.0,18.73681269739679,18.852827926860588
19.0,18.60153666873662,18.852827926860588
20.0,18.66622380489095,18.852827926860588
21.0,18.797733610250788,18.852827926860588
22.0,18.729369064601187,18.852827926860588
23.0,18.649540249561788,18.852827926860588
24.0,18.718456459898984,18.852827926860588
25.0,18.541401965101244,18.852827926860588
26.0,18.609067616191393,18.852827926860588
27.0,18.678255885200475,18.852827926860588
28.0,18.77481515014906,18.852827926860588
29.0,18.773315653823587,18.852827926860588
30.0,18.701525821652673,18.852827926860588
31.0,18.730900281733188,18.852827926860588
32.0,18.74000282726387,18.852827926860588
33.0,18.742211831477267,18.852827926860588
34.0,18.714730632080006,18.852827926860588
35.0,18.696051298885294,18.852827926860588
36.0,18.776784842163625,18.852827926860588
37.0,18.764503133260266,18.852827926860588
38.0,18.698415419752667,18.852827926860588
39.0,18.721594355837635,18.852827926860588
40.0,18.76589313177278,18.852827926860588
41.0,18.753248295542953,18.852827926860588
42.0,18.696876186886957,18.852827926860588
43.0,18.76051172975099,18.852827926860588
44.0,18.74170400965174,18.852827926860588
45.0,18.892458946611523,18.852827926860588
46.0,18.83477463856653,18.852827926860588
47.0,18.644543054332875,18.852827926860588
48.0,18.723144411574097,18.852827926860588
49.0,18.76330161735504,18.852827926860588
50.0,18.691471988435648,18.852827926860588
51.0,18.73516064659398,18.852827926860588
52.0,18.727852476287648,18.852827926860588
53.0,18.82731550748194,18.852827926860588
54.0,18.78200810564276,18.852827926860588
55.0,18.792450368390245,18.852827926860588
56.0,18.680796878847662,18.852827926860588
57.0,18.768475100810807,18.852827926860588
58.0,18.716473505287585,18.852827926860588
59.0,18.753040804767544,18.852827926860588
60.0,18.662538561236595,18.852827926860588
61.0,18.673313547674773,18.852827926860588
62.0,18.62237814551068,18.852827926860588
63.0,18.66831303200503,18.852827926860588
64.0,18.719785127765977,18.852827926860588
65.0,18.897460533288484,18.852827926860588
66.0,18.674633566149293,18.852827926860588
67.0,18.845929796696563,18.852827926860588
68.0,18.725878977566524,18.852827926860588
69.0,18.727848951942814,18.852827926860588
70.0,18.604164897291902,18.852827926860588
71.0,18.577073036440115,18.852827926860588
72.0,18.615461113294543,18.852827926860588
73.0,18.689964849676738,18.852827926860588
74.0,18.669614699109083,18.852827926860588
75.0,18.745373927612267,18.852827926860588
76.0,18.6972764257848,18.852827926860588
77.0,18.675273926995295,18.852827926860588
78.0,18.811716345209764,18.852827926860588
79.0,18.76437056577087,18.852827926860588
80.0,18.757027525237394,18.852827926860588
81.0,18.697290817930888,18.852827926860588
82.0,18.60729217751538,18.852827926860588
83.0,18.761813667111937,18.852827926860588
84.0,18.693377302637693,18.852827926860588
85.0,18.613751105728095,18.852827926860588
86.0,18.63406624554478,18.852827926860588
87.0,18.729341438593806,18.852827926860588
88.0,18.748636842908457,18.852827926860588
89.0,18.654792777324804,18.852827926860588
90.0,18.67043124508779,18.852827926860588
91.0,18.713518517506614,18.852827926860588
92.0,18.656138255227834,18.852827926860588
93.0,18.590880619005866,18.852827926860588
94.0,18.541790691470702,18.852827926860588
95.0,18.675896186918727,18.852827926860588
96.0,18.676918632485545,18.852827926860588
97.0,18.74722739414339,18.852827926860588
98.0,18.735703068976036,18.852827926860588
99.0,18.858437692454974,18.852827926860588
100.0,18.750338951514767,18.852827926860588
101.0,18.707518209402462,18.852827926860588
102.0,18.84146235540062,18.852827926860588
103.0,18.754587954119348,18.852827926860588
104.0,18.772723154797966,18.852827926860588
105.0,18.7006654724955,18.852827926860588
106.0,18.754644367505325,18.852827926860588
107.0,18.80850468327649,18.852827926860588
108.0,18.83524352384083,18.852827926860588
109.0,18.845106829168806,18.852827926860588
110.0,18.71908046466997,18.852827926860588
111.0,18.79490679075215,18.852827926860588
112.0,18.821184584852116,18.852827926860588
113.0,18.752688411276196,18.852827926860588
114.0,18.90946028608659,18.852827926860588
115.0,18.834349619077166,18.852827926860588
116.0,18.892545122757987,18.852827926860588
117.0,18.86469004059849,18.852827926860588
118.0,18.8671709762172,18.852827926860588
119.0,18.837315848013155,18.852827926860588
120.0,19.01548974556999,18.852827926860588
121.0,18.983538142032852,18.852827926860588
122.0,18.9008520927415,18.852827926860588
123.0,18.892517607936213,18.852827926860588
124.0,18.87011206154563,18.852827926860588
125.0,18.724071444034056,18.852827926860588
126.0,18.887970103985232,18.852827926860588
127.0,19.008088483877707,18.852827926860588
128.0,18.91608268518634,18.852827926860588
129.0,18.97916877828935,18.852827926860588
130.0,18.968536901867253,18.852827926860588
131.0,19.007215879843017,18.852827926860588
132.0,19.08089026157104,18.852827926860588
133.0,19.043965851973933,18.852827926860588
134.0,18.92308353379383,18.852827926860588
135.0,19.050523662267448,18.852827926860588
136.0,19.10352532310834,18.852827926860588
137.0,19.075571586584527,18.852827926860588
138.0,18.898334407779146,18.852827926860588
139.0,18.91454664352423,18.852827926860588
140.0,18.946135820214167,18.852827926860588
141.0,18.838302164767274,18.852827926860588
142.0,18.890319655048682,18.852827926860588
143.0,18.926576024120674,18.852827926860588
144.0,18.9399317686315,18.852827926860588
145.0,18.90798008426903,18.852827926860588
146.0,18.828209047641952,18.852827926860588
147.0,18.826000795517725,18.852827926860588
148.0,18.840957717631337,18.852827926860588
149.0,18.881360089148735,18.852827926860588
150.0,18.9425221653705,18.852827926860588
151.0,18.89186692889739,18.852827926860588
152.0,18.872579203642715,18.852827926860588
153.0,18.91232610487767,18.852827926860588
154.0,18.97152606989139,18.852827926860588
155.0,18.900554788108156,18.852827926860588
156.0,19.013375327755753,18.852827926860588
157.0,18.98888902955102,18.852827926860588
158.0,18.880631217193127,18.852827926860588
159.0,18.887290553998245,18.852827926860588
160.0,18.93358119715481,18.852827926860588
161.0,18.963773435504038,18.852827926860588
162.0,18.949591609088724,18.852827926860588
163.0,18.94361535363896,18.852827926860588
164.0,18.883591980637163,18.852827926860588
165.0,18.91057114570525,18.852827926860588
166.0,18.92876000124248,18.852827926860588
167.0,18.99062042718061,18.852827926860588
168.0,18.969626478466093,18.852827926860588
169.0,18.9341377030996,18.852827926860588
170.0,18.912259088134007,18.852827926860588
171.0,18.913350976675673,18.852827926860588
172.0,18.954430269221675,18.852827926860588
173.0,18.93191998540672,18.852827926860588
174.0,19.011638771848933,18.852827926860588
175.0,19.043956022854385,18.852827926860588
176.0,18.94805010569458,18.852827926860588
177.0,18.831287897092675,18.852827926860588
178.0,18.932060194018664,18.852827926860588
179.0,18.888817440729085,18.852827926860588
180.0,18.83082310690484,18.852827926860588
181.0,18.736272598997818,18.852827926860588
182.0,18.854471315907283,18.852827926860588
183.0,18.8241616157968,18.852827926860588
184.0,18.934591017139827,18.852827926860588
185.0,18.85912621099745,18.852827926860588
186.0,18.90521760141245,18.852827926860588
187.0,18.880871971947233,18.852827926860588
188.0,18.87162822479141,18.852827926860588
189.0,18.928618985106418,18.852827926860588
190.0,18.74556299151237,18.852827926860588
191.0,18.8626898103152,18.852827926860588
192.0,18.76129259141914,18.852827926860588
193.0,18.820351755882037,18.852827926860588
194.0,18.785616425760793,18.852827926860588
195.0,18.85761864522669,18.852827926860588
196.0,18.867242264342774,18.852827926860588
197.0,18.76778400827352,18.852827926860588
198.0,18.98588472318475,18.852827926860588
199.0,18.878626129546426,18.852827926860588
200.0,18.957430506416582,18.852827926860588
201.0,18.795164016705723,18.852827926860588
202.0,18.924581077916812,18.852827926860588
203.0,19.030169399851832,18.852827926860588
204.0,18.85013052301349,18.852827926860588
205.0,18.716472089441957,18.852827926860588
206.0,18.9230599059881,18.852827926860588
207.0,18.950723515056556,18.852827926860588
208.0,18.86457655095437,18.852827926860588
209.0,18.859099610484506,18.852827926860588
210.0,18.759890128216394,18.852827926860588
