端到端距离 R_ee (Å),R_ee 分布
9.921969360083779,0.019975964486838502
10.753533497675622,0.011985578692103075
11.585097635267466,0.0479423147684124
12.416661772859307,0.0439471218710447
13.24822591045115,0.051937507665780105
14.079790048042993,0.06791827925525076
14.911354185634835,0.0679182792552509
15.742918323226679,0.0958846295368248
16.574482460818523,0.05992789346051537
17.406046598410363,0.08389905084472188
18.237610736002203,0.0479423147684123
19.06917487359405,0.07990385794735384
19.90073901118589,0.059927893460515635
20.73230314877773,0.05593270056314768
21.56386728636958,0.03196154317894154
22.39543142396142,0.02796635028157396
23.22699556155326,0.01598077158947077
24.058559699145107,0.02796635028157384
24.890123836736947,0.03196154317894167
25.721687974328788,0.03196154317894154
26.553252111920635,0.02397115738420615
27.384816249512475,0.03196154317894167
28.216380387104316,0.035956736076309226
29.047944524696163,0.035956736076309226
29.879508662288004,0.015980771589470835
30.711072799879844,0.003995192897367692
31.54263693747169,0.035956736076309226
32.37420107506353,0.003995192897367709
33.20576521265538,0.011985578692103024
34.03732935024722,0.007990385794735417
34.86889348783906,0.011985578692103127
35.7004576254309,0.007990385794735417
36.53202176302274,0.00799038579473535
37.36358590061459,0.003995192897367709
