回转半径 Rg (Å),Rg 分布
18.37310008335205,0.13725844043547095
18.39730449020435,0.0
18.421508897056654,0.0
18.445713303908953,0.0
18.46991771076126,0.0
18.494122117613557,0.0
18.518326524465863,0.0
18.54253093131816,0.2745168808709419
18.566735338170467,0.2745168808709419
18.590939745022766,0.2745168808709419
18.61514415187507,0.9608090830482967
18.63934855872737,0.5490337617418838
18.663552965579676,2.0588766065320643
18.687757372431975,1.9216181660965934
18.71196177928428,1.7843597256611226
18.73616618613658,2.607910368273948
18.76037059298888,2.47065192783884
18.784574999841183,1.5098428447901806
18.808779406693482,0.8235506426128258
18.832983813545788,3.156944130015832
18.857188220398086,2.745168808709419
18.881392627250392,3.019685689580361
18.90559703410269,2.4706519278384773
18.929801440954996,3.019685689580361
18.954005847807295,2.196135046967535
18.9782102546596,2.196135046967535
19.0024146615119,2.196135046967535
19.026619068364205,1.2353259639192387
19.050823475216504,0.9608090830482967
19.07502788206881,0.9608090830482967
19.099232288921108,0.6862922021773548
19.123436695773414,0.13725844043547095
19.147641102625713,0.2745168808709419
19.17184550947802,0.4117753213064129
