时间 Time (ns),"最大链 (seg_0_PROA, 3227 原子)",平均 R_ee
0.0,13.713530558304097,19.961668582513894
1.0,13.977285583467776,19.961668582513894
2.0,9.936141655442073,19.961668582513894
3.0,15.049363051893108,19.961668582513894
4.0,11.655057502255328,19.961668582513894
5.0,13.791805888901132,19.961668582513894
6.0,13.5994623053229,19.961668582513894
7.0,11.464422331080913,19.961668582513894
8.0,10.515175644392142,19.961668582513894
9.0,10.205198091325752,19.961668582513894
10.0,12.66623284473137,19.961668582513894
11.0,11.646167756654625,19.961668582513894
12.0,11.339225655143998,19.961668582513894
13.0,10.203715659238226,19.961668582513894
14.0,10.040371275189411,19.961668582513894
15.0,11.511414471638012,19.961668582513894
16.0,16.68979242068914,19.961668582513894
17.0,16.0744879306149,19.961668582513894
18.0,17.062996588577782,19.961668582513894
19.0,14.806541239897308,19.961668582513894
20.0,16.14537997807873,19.961668582513894
21.0,13.204485367580185,19.961668582513894
22.0,18.94523153784255,19.961668582513894
23.0,13.164701673096754,19.961668582513894
24.0,12.64542987525709,19.961668582513894
25.0,13.537740491878694,19.961668582513894
26.0,12.644243733456937,19.961668582513894
27.0,16.28868138518826,19.961668582513894
28.0,12.29749973930866,19.961668582513894
29.0,16.27076984612287,19.961668582513894
30.0,18.299666145406324,19.961668582513894
31.0,15.590413334832702,19.961668582513894
32.0,17.727655211697797,19.961668582513894
33.0,11.317824450125775,19.961668582513894
34.0,14.575368679978844,19.961668582513894
35.0,12.722049295872381,19.961668582513894
36.0,12.863786343831034,19.961668582513894
37.0,15.646172469970194,19.961668582513894
38.0,14.271716168081651,19.961668582513894
39.0,12.408191585543644,19.961668582513894
40.0,19.763508390368923,19.961668582513894
41.0,15.256656301399246,19.961668582513894
42.0,14.787383388418098,19.961668582513894
43.0,20.058079465245974,19.961668582513894
44.0,20.611392881514337,19.961668582513894
45.0,20.63167921603636,19.961668582513894
46.0,18.836103667513406,19.961668582513894
47.0,17.996772712863557,19.961668582513894
48.0,20.613421954799012,19.961668582513894
49.0,18.158441002491415,19.961668582513894
50.0,17.227818798104284,19.961668582513894
51.0,18.734871061872504,19.961668582513894
52.0,19.35064593815643,19.961668582513894
53.0,17.972303581103727,19.961668582513894
54.0,15.31734643664047,19.961668582513894
55.0,14.726641898385028,19.961668582513894
56.0,15.9489173698719,19.961668582513894
57.0,20.151523865925576,19.961668582513894
58.0,13.00720479706224,19.961668582513894
59.0,12.226179866592105,19.961668582513894
60.0,15.093431199726805,19.961668582513894
61.0,15.035871602995183,19.961668582513894
62.0,18.838604216736602,19.961668582513894
63.0,15.957223625437837,19.961668582513894
64.0,16.18241156676641,19.961668582513894
65.0,14.193747427976772,19.961668582513894
66.0,16.30059581514865,19.961668582513894
67.0,16.181941246831638,19.961668582513894
68.0,15.729174815903667,19.961668582513894
69.0,21.21313793840354,19.961668582513894
70.0,14.240913213957917,19.961668582513894
71.0,11.574148755009706,19.961668582513894
72.0,16.305846111824074,19.961668582513894
73.0,20.284504227592063,19.961668582513894
74.0,17.054106376630934,19.961668582513894
75.0,20.770268491057646,19.961668582513894
76.0,18.186187845137702,19.961668582513894
77.0,18.840831586218712,19.961668582513894
78.0,19.718187317126944,19.961668582513894
79.0,18.872383525598835,19.961668582513894
80.0,19.29247706885657,19.961668582513894
81.0,14.51215534457453,19.961668582513894
82.0,17.566730292729847,19.961668582513894
83.0,20.418807033790095,19.961668582513894
84.0,20.83203632264977,19.961668582513894
85.0,19.93150553493388,19.961668582513894
86.0,19.397223946777576,19.961668582513894
87.0,20.816594934581172,19.961668582513894
88.0,15.330662240483013,19.961668582513894
89.0,14.794890719930951,19.961668582513894
90.0,21.02195242244972,19.961668582513894
91.0,18.65638184855813,19.961668582513894
92.0,19.71096840299264,19.961668582513894
93.0,17.924247819726432,19.961668582513894
94.0,17.732981399333447,19.961668582513894
95.0,19.14338542469377,19.961668582513894
96.0,19.69456886437488,19.961668582513894
97.0,18.41726560677327,19.961668582513894
98.0,15.853906534793438,19.961668582513894
99.0,15.672464056882122,19.961668582513894
100.0,15.551579508054031,19.961668582513894
101.0,15.996402318643245,19.961668582513894
102.0,19.078864375093872,19.961668582513894
103.0,17.687377072007926,19.961668582513894
104.0,15.706159151931688,19.961668582513894
105.0,16.529717554079653,19.961668582513894
106.0,16.26853241982062,19.961668582513894
107.0,15.747127413608307,19.961668582513894
108.0,20.497055112605764,19.961668582513894
109.0,15.67656258730964,19.961668582513894
110.0,21.394927192434782,19.961668582513894
111.0,18.881735954227754,19.961668582513894
112.0,18.838425632064585,19.961668582513894
113.0,13.382473725099967,19.961668582513894
114.0,16.598859538416395,19.961668582513894
115.0,20.46759805719497,19.961668582513894
116.0,14.137280078287144,19.961668582513894
117.0,19.135669057776056,19.961668582513894
118.0,16.243128645434677,19.961668582513894
119.0,15.911996297315282,19.961668582513894
120.0,16.14265215887878,19.961668582513894
121.0,16.132488012872816,19.961668582513894
122.0,13.673850212396088,19.961668582513894
123.0,11.478052776191412,19.961668582513894
124.0,19.20856824504876,19.961668582513894
125.0,18.166829251775766,19.961668582513894
126.0,19.7543348459059,19.961668582513894
127.0,20.03745318769435,19.961668582513894
128.0,18.60222527935744,19.961668582513894
129.0,25.099982442052873,19.961668582513894
130.0,25.500046597427914,19.961668582513894
131.0,21.342826348113682,19.961668582513894
132.0,22.70930350683154,19.961668582513894
133.0,29.14660482943992,19.961668582513894
134.0,23.681335725518796,19.961668582513894
135.0,27.683431196168886,19.961668582513894
136.0,26.63587620676212,19.961668582513894
137.0,22.365020773605384,19.961668582513894
138.0,17.632159047986942,19.961668582513894
139.0,17.71682467808263,19.961668582513894
140.0,16.273310168808976,19.961668582513894
141.0,14.919235763306613,19.961668582513894
142.0,18.307844363981026,19.961668582513894
143.0,11.08751852694271,19.961668582513894
144.0,12.928641993464714,19.961668582513894
145.0,10.859955143704282,19.961668582513894
146.0,11.272391028878287,19.961668582513894
147.0,12.682591884768405,19.961668582513894
148.0,13.82174872782777,19.961668582513894
149.0,13.050138183622938,19.961668582513894
150.0,15.624576570044427,19.961668582513894
151.0,11.644938193944618,19.961668582513894
152.0,14.982508246517293,19.961668582513894
153.0,13.51123384377185,19.961668582513894
154.0,13.735833951327418,19.961668582513894
155.0,18.698586298498938,19.961668582513894
156.0,19.730007141893942,19.961668582513894
157.0,17.71098809573028,19.961668582513894
158.0,13.858631338687918,19.961668582513894
159.0,13.778944328077703,19.961668582513894
160.0,11.971915684491474,19.961668582513894
161.0,17.766850806727337,19.961668582513894
162.0,15.169808430503497,19.961668582513894
163.0,12.97824670444212,19.961668582513894
164.0,12.178137973213934,19.961668582513894
165.0,13.878328458687157,19.961668582513894
166.0,16.073844846331582,19.961668582513894
167.0,16.547935953559918,19.961668582513894
168.0,17.73411405931147,19.961668582513894
169.0,17.27398475099389,19.961668582513894
170.0,15.397946691585151,19.961668582513894
171.0,14.206604756710991,19.961668582513894
172.0,17.5614691674768,19.961668582513894
173.0,16.353609798619942,19.961668582513894
174.0,13.925536368103016,19.961668582513894
175.0,19.344163136941184,19.961668582513894
176.0,11.264790654580542,19.961668582513894
177.0,12.758864640814748,19.961668582513894
178.0,17.01233459347409,19.961668582513894
179.0,16.455132765210095,19.961668582513894
180.0,15.34090746874916,19.961668582513894
181.0,9.506187291287858,19.961668582513894
182.0,12.666750765337865,19.961668582513894
183.0,13.879703267798984,19.961668582513894
184.0,15.23390069438943,19.961668582513894
185.0,13.277550892948993,19.961668582513894
186.0,13.877725940721866,19.961668582513894
187.0,13.118254412445815,19.961668582513894
188.0,14.640430438900765,19.961668582513894
189.0,17.806701112002717,19.961668582513894
190.0,15.091491573678821,19.961668582513894
191.0,19.786335589909573,19.961668582513894
192.0,22.430666360680842,19.961668582513894
193.0,23.20941745534073,19.961668582513894
194.0,25.723854315585356,19.961668582513894
195.0,28.582633421296503,19.961668582513894
196.0,24.692057979157937,19.961668582513894
197.0,20.98782709021556,19.961668582513894
198.0,28.69294421910631,19.961668582513894
199.0,27.258878790368843,19.961668582513894
200.0,30.17583688487879,19.961668582513894
201.0,21.690540774242205,19.961668582513894
202.0,26.958016176430473,19.961668582513894
203.0,24.059888486057094,19.961668582513894
204.0,17.591267560360976,19.961668582513894
205.0,22.336178045484587,19.961668582513894
206.0,22.211289830823418,19.961668582513894
207.0,28.49012233864632,19.961668582513894
208.0,20.280765913094857,19.961668582513894
209.0,25.226261101025692,19.961668582513894
210.0,21.419414971304036,19.961668582513894
211.0,22.652613694112276,19.961668582513894
